Series Name;Series Code;Country Name;Country Code;1960 [YR1960];1961 [YR1961];1962 [YR1962];1963 [YR1963];1964 [YR1964];1965 [YR1965];1966 [YR1966];1967 [YR1967];1968 [YR1968];1969 [YR1969];1970 [YR1970];1971 [YR1971];1972 [YR1972];1973 [YR1973];1974 [YR1974];1975 [YR1975];1976 [YR1976];1977 [YR1977];1978 [YR1978];1979 [YR1979];1980 [YR1980];1981 [YR1981];1982 [YR1982];1983 [YR1983];1984 [YR1984];1985 [YR1985];1986 [YR1986];1987 [YR1987];1988 [YR1988];1989 [YR1989];1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022];2023 [YR2023];2024 [YR2024]
GDP (current US$);NY.GDP.MKTP.CD;Greenland;GRL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,952E+14;8,84667E+14;1,06101E+14;1,40154E+14;1,69919E+14;2,11191E+14;2,40779E+12;2,8227E+14;3,55987E+13;4,20646E+14;4,76052E+14;4,35749E+14;4,02403E+14;4,16184E+14;3,79372E+14;4,12876E+14;6,03016E+14;7,8739E+14;8,98608E+14;9,298E+14;1,01898E+14;1,0165E+14;1,03792E+14;9,27214E+13;1,00589E+14;1,20895E+14;1,19752E+14;1,07215E+14;1,14986E+14;1,13156E+14;1,06803E+14;1,08617E+13;1,16914E+14;1,55876E+14;1,8225E+14;1,8498E+14;2,01311E+14;2,24981E+13;2,49909E+14;2,52996E+14;2,50317E+14;2,68446E+14;2,60968E+14;2,68495E+14;2,84207E+14;2,49911E+14;2,70714E+14;2,85161E+14;3,05578E+14;2,99731E+14;3,08288E+13;3,23581E+14;NA;NA;NA
GDP (current US$);NY.GDP.MKTP.CD;Denmark;DNK;6361166544.50349;7058361229.35415;7953274741.29303;8466044979.87996;9677401337.17309;10870670865.3211;11931740293.0378;13059064805.8774;13505574133.3333;15414902666.6667;1,70755E+14;1,90862E+14;2,32307E+14;3,07182E+14;3,41257E+14;4,0419E+14;4,45036E+14;4,97117E+14;6,03201E+13;7,0393E+13;7,08113E+14;6,14599E+14;6,00842E+14;6,03312E+14;5,88689E+14;6,24524E+14;8,77487E+14;1,09183E+14;1,1554E+14;1,12312E+14;1,38218E+14;1,39181E+14;1,52966E+14;1,43111E+14;1,56018E+14;1,84848E+14;1,87481E+14;1,73241E+14;1,76877E+14;1,77888E+14;1,64044E+13;1,64882E+14;1,78788E+14;2,18421E+14;2,51986E+14;2,6515E+14;2,83386E+14;3,20213E+14;3,54979E+14;3,22619E+14;3,22346E+13;3,44316E+14;3,26793E+14;3,44631E+13;3,52833E+14;3,01759E+14;3,12182E+14;3,31611E+14;3,55293E+14;3,45401E+14;3,55631E+14;4,08378E+14;401945576107.963;407091920305.404;NA
GDP (current US$);NY.GDP.MKTP.CD;Iceland;ISL;252169712.042125;257703244.559997;289200704.382542;345175036.090555;440797869.282266;531569563.888591;638349755.221932;630567115.790732;481532847.590587;420945147.630956;5,26705E+14;6,70251E+14;8,39652E+13;1,15444E+14;1,51519E+14;1,40688E+14;1,66949E+14;2,20851E+14;2,51183E+12;2,85344E+14;3,38142E+14;3,493E+14;3,20663E+13;2,76595E+14;2,86444E+14;2,98405E+14;3,98962E+14;5,52032E+14;6,10664E+14;5,67257E+14;6,46874E+14;6,90973E+14;7,08098E+14;6,21858E+14;6,38946E+14;7,12363E+14;7,42608E+14;7,56967E+14;8,50369E+14;8,98205E+13;9,02566E+14;8,23485E+14;9,3184E+14;1,14293E+14;1,38253E+14;1,6853E+14;1,74653E+14;2,16525E+14;1,80746E+14;1,31544E+13;1,37512E+14;1,52216E+14;1,47515E+14;1,61251E+14;1,78677E+14;1,75172E+14;2,07932E+14;2,47283E+14;2,62609E+14;2,46813E+14;2,163E+14;2,58253E+14;28770206626.5564;31325116556.3807;NA
GDP (current US$);NY.GDP.MKTP.CD;Norway;NOR;5197398721.41367;5669689210.3186;6107076928.63372;6553269535.51009;7206522121.80418;8111945661.21624;8753940266.90184;9577383653.18303;10227087165.2414;11136187439.8326;1,28141E+14;1,45831E+14;1,73586E+13;2,25343E+14;2,71457E+14;3,28778E+13;3,59423E+14;4,1508E+14;4,65229E+14;5,31322E+14;6,44394E+14;6,35967E+14;6,26472E+14;6,16272E+14;6,2058E+14;6,54169E+14;7,86931E+14;9,42299E+14;1,019E+14;1,02634E+14;1,19792E+14;1,21872E+14;1,30838E+14;1,20579E+14;1,27131E+14;1,5203E+14;1,6352E+14;1,61357E+14;1,5423E+14;1,62384E+13;1,71457E+14;1,74239E+14;1,95915E+14;2,29385E+14;2,65269E+14;3,09979E+14;3,46915E+14;4,02643E+14;4,64918E+14;3,87976E+14;4,31052E+14;5,01361E+14;5,12777E+14;5,26014E+14;5,01736E+14;3,8816E+13;3,70957E+14;4,01745E+14;4,39789E+12;4,08743E+14;3,67633E+14;5,03368E+14;593726965415.619;485310823603.662;NA
GDP (current US$);NY.GDP.MKTP.CD;Faroe Islands;FRO;NA;NA;NA;NA;NA;57954522.4217259;64397131.0846457;66225403.5588069;65186666.6666667;70106666.6666667;8,49333E+14;9,92191E+14;1,19336E+14;1,61236E+14;1,96771E+14;2,27404E+14;2,7047E+14;3,47798E+14;3,97833E+14;4,48568E+14;4,93014E+14;4,56245E+14;4,44047E+14;4,86605E+14;4,26009E+14;4,59307E+14;6,88914E+14;8,86509E+14;9,68577E+14;8,71935E+14;9,60805E+14;9,09253E+13;9,1267E+14;7,60957E+14;7,58739E+14;9,01405E+14;9,89537E+14;9,33763E+14;1,10474E+14;1,12768E+14;1,06711E+14;1,16027E+14;1,27509E+14;1,50194E+14;1,72477E+14;1,75974E+14;2,01768E+14;2,33902E+14;2,48987E+14;2,29607E+14;2,3318E+14;2,50574E+14;2,4272E+14;2,69011E+14;2,91401E+14;2,57391E+14;2,81328E+14;2,98006E+14;3,1886E+14;3,26643E+14;3,27181E+13;3,66469E+14;3566698397.6602;3907323961.33964;NA
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated: 04/15/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
