Country Name;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Greenland;234;-24;-33;-7;30;63;212;199;264;396;518;54;84;104;109;22;-127;-524;-490;-465;4;-18;-7;39;22;-157;-115;-126;-205;-250;-648;-692;-748;-733;-696;-433;-463;-521;-486;-513;-229;-282;-313;-295;-311;-476;-480;-505;-522;-562;-46;-244;-553;-653;-702;-315;-342;-350;-330;-308;-328;-324;-323;-318;-284
Denmark;-4047;3012;3900;594;1333;-2098;2011;1623;-3557;6687;20947;-1159;7053;7107;-437;-10672;3182;5548;5678;5808;803;-1741;235;1952;4325;9957;11463;6338;677;3720;8667;10827;11937;11411;10766;28958;17534;12269;11098;9520;10441;12192;9629;7228;5166;6887;10491;20560;25775;15551;17533;13495;16871;21359;27242;42284;33391;24561;18919;9488;10851;26887;60219;31006;25639
Norway;-1427;1437;655;1061;-1571;-1525;-888;2460;1761;2230;-1034;3031;5603;3414;4425;3312;4779;4845;3823;2839;3763;6010;5749;4120;3856;6725;7616;13907;10380;-1730;1818;7949;10218;12567;7580;6343;5671;9744;13519;19147;9805;7906;17279;11389;13412;18588;24054;40111;44002;39316;42865;47454;47883;40690;38522;30242;26417;21657;18473;25707;11277;19804;58040;53806;44356
Faroe Islands;-63;-119;-129;-136;-133;-116;-232;-285;-274;-242;-155;-41;-74;-86;-63;-38;-13;-3;106;80;119;129;130;124;118;15;16;31;22;28;-1203;-1256;-1280;-1321;-1310;61;51;81;109;70;301;342;327;325;319;-188;-179;-189;-206;-187;-780;32;8;48;85;499;541;634;676;670;548;662;614;599;488
Iceland;-269;164;-228;-113;-67;-194;39;47;-448;-1414;-1754;-231;362;-310;209;-388;-1181;-1079;-781;-572;-629;157;616;170;-328;-628;-335;944;1572;-994;-971;1145;-225;-194;-804;-1354;-511;225;1014;1165;1877;867;-333;-204;610;3925;5300;5254;1138;-4785;-2055;-1393;-277;1666;1139;1499;4128;8348;6638;5030;2498;4911;6535;4630;3543
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
