Entity,Code,Year,Life expectancy - Sex: all - Age: 0 - Variant: estimates,Life expectancy - Sex: all - Age: 0 - Variant: medium
Denmark,DNK,1950,70.308,
Denmark,DNK,1951,70.924,
Denmark,DNK,1952,70.76,
Denmark,DNK,1953,71.172,
Denmark,DNK,1954,71.339,
Denmark,DNK,1955,71.914,
Denmark,DNK,1956,72.042,
Denmark,DNK,1957,71.807,
Denmark,DNK,1958,72.238,
Denmark,DNK,1959,72.225,
Denmark,DNK,1960,72.196,
Denmark,DNK,1961,72.453,
Denmark,DNK,1962,72.352,
Denmark,DNK,1963,72.419,
Denmark,DNK,1964,72.508,
Denmark,DNK,1965,72.388,
Denmark,DNK,1966,72.466,
Denmark,DNK,1967,72.955,
Denmark,DNK,1968,73.147,
Denmark,DNK,1969,73.245,
Denmark,DNK,1970,73.364,
Denmark,DNK,1971,73.427,
Denmark,DNK,1972,73.468,
Denmark,DNK,1973,73.694,
Denmark,DNK,1974,73.822,
Denmark,DNK,1975,74.1,
Denmark,DNK,1976,73.77,
Denmark,DNK,1977,74.659,
Denmark,DNK,1978,74.426,
Denmark,DNK,1979,74.241,
Denmark,DNK,1980,74.129,
Denmark,DNK,1981,74.251,
Denmark,DNK,1982,74.597,
Denmark,DNK,1983,74.456,
Denmark,DNK,1984,74.616,
Denmark,DNK,1985,74.48,
Denmark,DNK,1986,74.639,
Denmark,DNK,1987,74.745,
Denmark,DNK,1988,74.84,
Denmark,DNK,1989,74.86,
Denmark,DNK,1990,74.865,
Denmark,DNK,1991,75.227,
Denmark,DNK,1992,75.269,
Denmark,DNK,1993,75.189,
Denmark,DNK,1994,75.441,
Denmark,DNK,1995,75.287,
Denmark,DNK,1996,75.664,
Denmark,DNK,1997,76.041,
Denmark,DNK,1998,76.436,
Denmark,DNK,1999,76.578,
Denmark,DNK,2000,76.815,
Denmark,DNK,2001,76.974,
Denmark,DNK,2002,77.099,
Denmark,DNK,2003,77.401,
Denmark,DNK,2004,77.785,
Denmark,DNK,2005,78.226,
Denmark,DNK,2006,78.223,
Denmark,DNK,2007,78.349,
Denmark,DNK,2008,78.714,
Denmark,DNK,2009,78.957,
Denmark,DNK,2010,79.247,
Denmark,DNK,2011,79.786,
Denmark,DNK,2012,80.082,
Denmark,DNK,2013,80.306,
Denmark,DNK,2014,80.632,
Denmark,DNK,2015,80.739,
Denmark,DNK,2016,80.881,
Denmark,DNK,2017,81.112,
Denmark,DNK,2018,80.991,
Denmark,DNK,2019,81.434,
Denmark,DNK,2020,81.546,
Denmark,DNK,2021,81.436,
Denmark,DNK,2022,81.291,
Denmark,DNK,2023,81.933,
Denmark,DNK,2024,,82.094
Denmark,DNK,2025,,82.245
Denmark,DNK,2026,,82.385
Denmark,DNK,2027,,82.537
Denmark,DNK,2028,,82.695
Denmark,DNK,2029,,82.828
Denmark,DNK,2030,,82.979
Denmark,DNK,2031,,83.13
Denmark,DNK,2032,,83.273
Denmark,DNK,2033,,83.406
Denmark,DNK,2034,,83.549
Denmark,DNK,2035,,83.692
Denmark,DNK,2036,,83.835
Denmark,DNK,2037,,83.97
Denmark,DNK,2038,,84.105
Denmark,DNK,2039,,84.236
Denmark,DNK,2040,,84.364
Denmark,DNK,2041,,84.491
Denmark,DNK,2042,,84.614
Denmark,DNK,2043,,84.748
Denmark,DNK,2044,,84.875
Denmark,DNK,2045,,84.99
Denmark,DNK,2046,,85.116
Denmark,DNK,2047,,85.241
Denmark,DNK,2048,,85.367
Denmark,DNK,2049,,85.48
Denmark,DNK,2050,,85.605
Denmark,DNK,2051,,85.722
Denmark,DNK,2052,,85.84
Denmark,DNK,2053,,85.963
Denmark,DNK,2054,,86.081
Denmark,DNK,2055,,86.21
Denmark,DNK,2056,,86.314
Denmark,DNK,2057,,86.442
Denmark,DNK,2058,,86.563
Denmark,DNK,2059,,86.662
Denmark,DNK,2060,,86.782
Denmark,DNK,2061,,86.89
Denmark,DNK,2062,,87.01
Denmark,DNK,2063,,87.13
Denmark,DNK,2064,,87.236
Denmark,DNK,2065,,87.363
Denmark,DNK,2066,,87.468
Denmark,DNK,2067,,87.573
Denmark,DNK,2068,,87.673
Denmark,DNK,2069,,87.783
Denmark,DNK,2070,,87.895
Denmark,DNK,2071,,87.998
Denmark,DNK,2072,,88.121
Denmark,DNK,2073,,88.223
Denmark,DNK,2074,,88.345
Denmark,DNK,2075,,88.446
Denmark,DNK,2076,,88.56
Denmark,DNK,2077,,88.666
Denmark,DNK,2078,,88.786
Denmark,DNK,2079,,88.884
Denmark,DNK,2080,,89.002
Denmark,DNK,2081,,89.108
Denmark,DNK,2082,,89.205
Denmark,DNK,2083,,89.321
Denmark,DNK,2084,,89.416
Denmark,DNK,2085,,89.519
Denmark,DNK,2086,,89.633
Denmark,DNK,2087,,89.746
Denmark,DNK,2088,,89.848
Denmark,DNK,2089,,89.959
Denmark,DNK,2090,,90.059
Denmark,DNK,2091,,90.181
Denmark,DNK,2092,,90.279
Denmark,DNK,2093,,90.395
Denmark,DNK,2094,,90.502
Denmark,DNK,2095,,90.609
Denmark,DNK,2096,,90.703
Denmark,DNK,2097,,90.815
Denmark,DNK,2098,,90.919
Denmark,DNK,2099,,91.022
Denmark,DNK,2100,,91.131
Faroe Islands,FRO,1950,60.569,
Faroe Islands,FRO,1951,61.666,
Faroe Islands,FRO,1952,62.714,
Faroe Islands,FRO,1953,63.903,
Faroe Islands,FRO,1954,65.178,
Faroe Islands,FRO,1955,66.578,
Faroe Islands,FRO,1956,67.979,
Faroe Islands,FRO,1957,69.282,
Faroe Islands,FRO,1958,70.364,
Faroe Islands,FRO,1959,71.3,
Faroe Islands,FRO,1960,72.018,
Faroe Islands,FRO,1961,72.616,
Faroe Islands,FRO,1962,73.067,
Faroe Islands,FRO,1963,73.432,
Faroe Islands,FRO,1964,73.721,
Faroe Islands,FRO,1965,73.961,
Faroe Islands,FRO,1966,74.163,
Faroe Islands,FRO,1967,74.35,
Faroe Islands,FRO,1968,74.553,
Faroe Islands,FRO,1969,74.71,
Faroe Islands,FRO,1970,74.849,
Faroe Islands,FRO,1971,74.993,
Faroe Islands,FRO,1972,75.085,
Faroe Islands,FRO,1973,75.198,
Faroe Islands,FRO,1974,75.243,
Faroe Islands,FRO,1975,75.323,
Faroe Islands,FRO,1976,75.399,
Faroe Islands,FRO,1977,75.522,
Faroe Islands,FRO,1978,75.615,
Faroe Islands,FRO,1979,75.667,
Faroe Islands,FRO,1980,75.751,
